Title,Description,Category,link,DateTime
Indian Cricket Team Gets A Strict Warning From Australia’s Sports Ministry,"Indian Cricket Team: Life in bio-bubble is never easy for the cricketers. Ever since the play has resumed post-Covid-19, the players have to undergo mandatory 14-days quarantine. The players go ...",Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fthecricketlounge.com%2f2021%2f01%2findian-cricket-team-gets-a-strict-warning-from-australias-sports-ministry%2f&c=11715952213847619338&mkt=en-in,2021-01-03 03:14:00
Sri Lanka Cricket employee tests COVID-19 positive,"Sri Lanka Cricket employee tests COVID-19 positive 2nd Test, Day 1: Nortje, Elgar put South Africa on top against Sri Lanka PM Modi speaks to Sourav Ganguly, wishes him speedy recovery CSA's One ...",Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2ftimesofindia.indiatimes.com%2fsports%2fcricket%2fnews%2fsri-lanka-cricket-employee-tests-covid-19-positive%2farticleshow%2f80085292.cms&c=3071067592836750747&mkt=en-in,2021-01-03 08:15:00
Zimbabwe halts all cricket activities after spike in Covid-19 cases,"Zimbabwe's last international assignment was a six-match limited overs series in Pakistan in November 2020. The country has reportedly recorded 1,342 positive cases and 29 deaths in the space of one ...",Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fwww.indiatvnews.com%2fsports%2fcricket%2fzimbabwe-halts-all-cricket-activities-after-spike-in-covid-19-cases-675828&c=7222352978419914415&mkt=en-in,2021-01-03 07:54:00
Zimbabwe halts all cricket activities as Covid cases spike,Zimbabwe Cricket has decided to suspend all cricketing activities in the country as the number of COVID-19 cases continues to rise.,Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fwww.timesnownews.com%2fsports%2fcricket%2farticle%2fzimbabwe-halts-all-cricket-activities-as-covid-cases-spike%2f702428&c=4029048643390015783&mkt=en-in,2021-01-03 08:21:00
NK vs CS Dream11 prediction today: Fantasy cricket tips for Northern Knights vs Central Districts,Northern Knights will square off against Central Districts in the 10th match of the Super Smash 2020/21. The Super Smash 2020/21 action will continue in New Zealand as Northern Knights (NK) take on ...,Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fwww.timesnownews.com%2fsports%2fcricket%2farticle%2fnk-vs-cs-dream11-prediction-today-fantasy-cricket-tips-for-northern-knights-vs-central-districts%2f702424&c=8921506941151569477&mkt=en-in,2021-01-03 08:14:00
"Sri Lanka Cricket employee tests positive for coronavirus, isolated with immediate effect","An employee of Sri Lanka Cricket has tested positive for COVID-19 and has been isolated with immediate effect, the sports body said on Sunday.The SLC also took steps to immediately isolate the direct ...",Sports,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=413D50B5FEB44A3888E33C5FF9701260&url=https%3a%2f%2fwww.msn.com%2fen-in%2fsport%2fcricket%2fsri-lanka-cricket-employee-tests-positive-for-coronavirus-isolated-with-immediate-effect%2far-BB1cr2RM&c=18371563081685281002&mkt=en-in,2021-01-03 08:22:48
