Title,Description,Category,Link,DateTime
"Vaccine approval is a leap of science, not faith, says Venkaiah Naidu","Putting his weight behind Bharat Biotech’s Covaxin, in a Facebook post, Mr. Naidu wrote, “India’s indigenous vaccine has certain unique features based on the whole virus approach. This is a ...",Science,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=451629F7BCD74199BBB167844CC8DB45&url=https%3a%2f%2fwww.thehindu.com%2fnews%2fnational%2fvaccine-approval-is-a-leap-of-science-not-faith-says-venkaiah-naidu%2farticle33494697.ece&c=11494592060481529040&mkt=en-in,2021-01-04 06:32:00
"India’s emergency approval to 2 Covid vaccines a leap of science, says Venkaiah Naidu","In a Facebook post, Vice President Naidu said this is an indication of how ‘Aatmanirbhar Bharat’ can benefit not only Indians but humanity as a whole.",Science,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=451629F7BCD74199BBB167844CC8DB45&url=https%3a%2f%2ftheprint.in%2findia%2findias-emergency-approval-to-2-covid-vaccines-a-leap-of-science-says-venkaiah%25e2%2580%2589naidu%2f579364%2f&c=4324097616939386415&mkt=en-in,2021-01-04 01:09:00
"India’s COVID-19 vaccine is a leap of science, says Vice President Venkaiah Naidu",The Vice President of India and Chairman of Rajya Sabha M. Venkaiah Naidu has hailed the emergency authorization of two Covid vaccines as India's leap of science that benefits humanity at large.,Science,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=451629F7BCD74199BBB167844CC8DB45&url=https%3a%2f%2fwww.theindianwire.com%2fnews%2findias-covid-19-vaccine-is-a-leap-of-science-says-vice-president-venkaiah-naidu-302287%2f&c=7726972264790832941&mkt=en-in,2021-01-04 05:31:00
"Emergency authorisation to 2 COVID-19 vaccines India's leap of science, says Naidu","Vice President M Venkaiah Naidu on Monday hailed the approval given to two anti-coronavirus vaccines for restricted emergency use in India as the country's ""leap of science"" that benefits the humanity ...",Science,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=451629F7BCD74199BBB167844CC8DB45&url=https%3a%2f%2fwww.dailypioneer.com%2f2021%2ftop-stories%2femergency-authorisation-to-2-covid-19-vaccines-india-s-leap-of-science--says-naidu.html&c=1166631799625720532&mkt=en-in,2021-01-04 05:36:00
"India's Covid vaccine is a leap of science, says Vice President Naidu",Vice President of India and Chairman of Rajya Sabha M. Venkaiah Naidu has hailed the emergency authorization of two Covid vaccines yesterday as India's leap of science that benefits the humanity at ...,Science,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=451629F7BCD74199BBB167844CC8DB45&url=https%3a%2f%2fwww.indiablooms.com%2fnews-details%2fN%2f68173%2findia-s-covid-vaccine-is-a-leap-of-science-says-vice-president-naidu.html&c=12481583787474623019&mkt=en-in,2021-01-04 04:03:00
"India's COVID vaccine is a leap of science, says VP Naidu",A day after the Drugs Controller General of India DCGI gave its nod for the emergency use approval for two indigenous vaccines against COVID-19 on Sunday Vic ...,Science,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=451629F7BCD74199BBB167844CC8DB45&url=https%3a%2f%2fwww.bignewsnetwork.com%2fnews%2f267436446%2findia-covid-vaccine-is-a-leap-of-science-says-vp-naidu&c=8122736763267485044&mkt=en-in,2021-01-04 04:47:00
"UK rolls out AstraZeneca vaccine, touts British science triumph","Britain began vaccinating its population on Monday with the Covid-19 shot developed by Oxford University and AstraZeneca, touting its position as the first Western country to roll out an inoculation ...",Science,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=451629F7BCD74199BBB167844CC8DB45&url=https%3a%2f%2fwww.deccanherald.com%2finternational%2fworld-news-politics%2fuk-rolls-out-astrazeneca-vaccine-touts-british-science-triumph-934995.html&c=416577241785478862&mkt=en-in,2021-01-04 00:36:00
